"filename", "language", "Python", "JSON", "HTML", "XML", "JavaScript", "Markdown", "Excel", "SQL", "comment", "blank", "total"
"g:\python\SCSystem\static\jquery\src\data\Data.js", "JavaScript", 0, 0, 0, 0, 89, 0, 0, 0, 44, 30, 163
"g:\python\SCSystem\static\jquery\src\data\var\acceptData.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 9, 5, 20
"g:\python\SCSystem\static\jquery\src\data\var\dataPriv.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\data\var\dataUser.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\deferred.js", "JavaScript", 0, 0, 0, 0, 241, 0, 0, 0, 90, 69, 400
"g:\python\SCSystem\static\jquery\src\deferred\exceptionHook.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 4, 6, 22
"g:\python\SCSystem\static\jquery\src\deprecated.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 0, 18, 16, 90
"g:\python\SCSystem\static\jquery\src\deprecated\ajax-event-alias.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"g:\python\SCSystem\static\jquery\src\deprecated\event.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 2, 11, 51
"g:\python\SCSystem\static\jquery\src\dimensions.js", "JavaScript", 0, 0, 0, 0, 40, 0, 0, 0, 8, 13, 61
"g:\python\SCSystem\static\jquery\src\effects.js", "JavaScript", 0, 0, 0, 0, 535, 0, 0, 0, 60, 108, 703
"g:\python\SCSystem\static\jquery\src\effects\Tween.js", "JavaScript", 0, 0, 0, 0, 93, 0, 0, 0, 13, 20, 126
"g:\python\SCSystem\static\jquery\src\effects\animatedSelector.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"g:\python\SCSystem\static\jquery\src\event.js", "JavaScript", 0, 0, 0, 0, 568, 0, 0, 0, 152, 155, 875
"g:\python\SCSystem\static\jquery\src\event\focusin.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 11, 11, 59
